oldQuestionId,customTagName
6061677,IA_Concept
6061720,IA_Concept
6061734,IA_Concept
6062482,IA_Concept
6062486,IA_Concept
6062497,IA_Concept
6062504,IA_Concept
6062520,IA_Concept
2311612,IA_Concept
6052258,IA_Concept
6052259,IA_Concept
4584078,IA_Concept
1378681,IA_Concept
6065386,IA_Concept
6065394,IA_Concept
6065400,IA_Concept
6065411,IA_Concept
6065415,IA_Concept
6065452,IA_Concept
6065458,IA_Concept
6065467,IA_Concept
6065471,IA_Concept
6069980,IA_Concept
2514314,IA_Concept
2533378,IA_Concept
6065571,IA_Concept
6066996,IA_Concept
6054695,IA_Concept
1288810,IA_Concept
5639648,IA_Concept
3364238,IA_Concept
3394515,IA_Concept
3598858,IA_Concept
5221507,IA_Concept
6065586,IA_Concept
6067130,IA_Concept
6067159,IA_Concept
6071407,IA_Concept
6065589,IA_Concept
5563721,IA_Concept
6067197,IA_Concept
5564048,IA_Concept
3366527,IA_Concept
6054714,IA_Concept
6054718,IA_Concept
3164507,IA_Concept
5054364,IA_Concept
3407885,IA_Concept
1155392,IA_Concept
6065490,IA_Concept
6067769,IA_Concept
6067776,IA_Concept
6067790,IA_Concept
4182534,IA_Concept
1300286,IA_Concept
3164588,IA_Concept
3883603,IA_Concept
4686027,IA_Concept
1138108,IA_Concept
3047376,IA_Concept
6054898,IA_Concept
1053706,IA_Concept
1971316,IA_Concept
4939322,IA_Concept
3422387,IA_Concept
6068256,IA_Concept
6068311,IA_Concept
6068365,IA_Concept
1087781,IA_Concept
3598743,IA_Concept
3600232,IA_Concept
4748980,IA_Concept
6068727,IA_Concept
6054942,IA_Concept
4661056,IA_Concept
3506981,IA_Concept
6065515,IA_Concept
6065520,IA_Concept
6069179,IA_Concept
6069820,IA_Concept
6069827,IA_Concept
6069848,IA_Concept
6070016,IA_Concept
1571246,IA_Subtopic
4578427,IA_Subtopic
2499903,IA_Subtopic
4490275,IA_Subtopic
4462902,IA_Subtopic
4472235,IA_Subtopic
6059745,IA_Subtopic
5399368,IA_Subtopic
4368659,IA_Subtopic
4890287,IA_Subtopic
3266326,IA_Subtopic
4392047,IA_Subtopic
4339497,IA_Subtopic
2499906,IA_Subtopic
5096328,IA_Subtopic
5530182,IA_Subtopic
6011716,IA_Subtopic
6046002,IA_Subtopic
6058482,IA_Subtopic
6061536,IA_Subtopic
4179368,IA_Subtopic
4179379,IA_Subtopic
4339163,IA_Subtopic
3779492,IA_Subtopic
3848062,IA_Subtopic
1410383,IA_Subtopic
3643509,IA_Subtopic
3673781,IA_Subtopic
3399104,IA_Subtopic
4365518,IA_Subtopic
1283230,IA_Subtopic
1377873,IA_Subtopic
1087341,IA_Subtopic
1053742,IA_Subtopic
3263265,IA_Subtopic
3263356,IA_Subtopic
3394321,IA_Subtopic
4487058,IA_Subtopic
3779549,IA_Subtopic
6058081,IA_Subtopic
6071648,IA_Subtopic
3614125,IA_Subtopic
6071664,IA_Subtopic
4569887,IA_Subtopic
4520712,IA_Subtopic
4487045,IA_Subtopic
4444259,IA_Subtopic
4444638,IA_Subtopic
6071679,IA_Subtopic
5217528,IA_Subtopic
3268565,IA_Subtopic
1322881,IA_Subtopic
434734,IA_Subtopic
3164622,IA_Subtopic
6071372,IA_Subtopic
6071433,IA_Subtopic
6071488,IA_Subtopic
6071568,IA_Subtopic
6071606,IA_Subtopic
6065584,IA_Subtopic
6071741,IA_Subtopic
1377752,IA_Subtopic
1561994,IA_Subtopic
1961951,IA_Subtopic
1909955,IA_Subtopic
1836186,IA_Subtopic
1836177,IA_Subtopic
1836165,IA_Subtopic
6071769,IA_Subtopic
3606833,IA_Subtopic
5563789,IA_Subtopic
3193895,IA_Subtopic
4182550,IA_Subtopic
4660877,IA_Subtopic
6067863,IA_Subtopic
6067884,IA_Subtopic
6068399,IA_Subtopic
6068435,IA_Subtopic
6068552,IA_Subtopic
6068586,IA_Subtopic
3394518,IA_Subtopic
4891864,IA_Subtopic
3164548,IA_Subtopic
6070601,IA_Subtopic
6070613,IA_Subtopic
6070617,IA_Subtopic
6070692,IA_Subtopic
6070707,IA_Subtopic
6070730,IA_Subtopic
6070743,IA_Subtopic
6070759,IA_Subtopic
6071929,IA_Subtopic
6071936,IA_Subtopic
2646616,IA_Subtopic
6072223,IA_Subtopic
6072228,IA_Subtopic
6072239,IA_Subtopic
6072245,IA_Subtopic
6072410,IA_Subtopic
6072821,IA_Subtopic
6045247,IA_Topic
1959661,IA_Topic
4662524,IA_Topic
1971306,IA_Topic
2646616,IA_Topic
4660859,IA_Topic
1571216,IA_Topic
1604389,IA_Topic
1630202,IA_Topic
2499921,IA_Topic
1813418,IA_Topic
1488601,IA_Topic
1488656,IA_Topic
4392010,IA_Topic
4392008,IA_Topic
3606822,IA_Topic
4392045,IA_Topic
1053745,IA_Topic
1050745,IA_Topic
3267850,IA_Topic
3394454,IA_Topic
3540261,IA_Topic
1398472,IA_Topic
1571231,IA_Topic
1704382,IA_Topic
4890132,IA_Topic
3469871,IA_Topic
4179495,IA_Topic
1789768,IA_Topic
4843995,IA_Topic
1900379,IA_Topic
1281699,IA_Topic
3469850,IA_Topic
1561925,IA_Topic
4683539,IA_Topic
6073901,IA_Topic
6073926,IA_Topic
6073949,IA_Topic
6073962,IA_Topic
6073973,IA_Topic
6073986,IA_Topic
6074011,IA_Topic
6074086,IA_Topic
6074108,IA_Topic
6074122,IA_Topic
6074173,IA_Topic
6074238,IA_Topic
6074279,IA_Topic
6074283,IA_Topic
6074298,IA_Topic
