# Failed oldQuestionIds - Generated on 2025-10-07T21:23:37.880968
# Format: oldQuestionId,reason
884377,API call failed for some/all languages: [1, 2]
884440,API call failed for some/all languages: [1, 2]
885854,API call failed for some/all languages: [1]
886350,No question document found
886481,No question document found
887483,API call failed for some/all languages: [1, 2]
889197,No question document found
889623,No question document found
889824,No question document found
891725,No question document found
892180,No question document found
892185,No question document found
892191,No question document found
892196,No question document found
892202,No question document found
892211,No question document found
892219,No question document found
892711,No question document found
892714,No question document found
892717,No question document found
892720,No question document found
892724,No question document found
892726,No question document found
892729,No question document found
892731,No question document found
892732,No question document found
892735,No question document found
892737,No question document found
892742,No question document found
892757,No question document found
892759,No question document found
892761,No question document found
892763,No question document found
892766,No question document found
892768,No question document found
892771,No question document found
892772,No question document found
892775,No question document found
892777,No question document found
892778,No question document found
892788,No question document found
892791,No question document found
892792,No question document found
892798,No question document found
892805,No question document found
892807,No question document found
892811,No question document found
892840,No question document found
892842,No question document found
892845,No question document found
892849,No question document found
892850,No question document found
892852,No question document found
892856,No question document found
892859,No question document found
892860,No question document found
892861,No question document found
892862,No question document found
893208,No question document found
893210,No question document found
893215,No question document found
893219,No question document found
893222,No question document found
893238,No question document found
893244,No question document found
893253,No question document found
893257,No question document found
893261,No question document found
893266,No question document found
893270,No question document found
893272,No question document found
893275,No question document found
893276,No question document found
893277,No question document found
893280,No question document found
893282,No question document found
893283,No question document found
893288,No question document found
893289,No question document found
893290,No question document found
893291,No question document found
893303,No question document found
893316,No question document found
893319,No question document found
893325,No question document found
893327,No question document found
893330,No question document found
893332,No question document found
893344,No question document found
893347,No question document found
893353,No question document found
893361,No question document found
893369,No question document found
893376,No question document found
893382,No question document found
893384,No question document found
893385,No question document found
893390,No question document found
893448,No question document found
893449,No question document found
893450,No question document found
893451,No question document found
893452,No question document found
893453,No question document found
893454,No question document found
893455,No question document found
893456,No question document found
893457,No question document found
893458,No question document found
893459,No question document found
893460,No question document found
893461,No question document found
893462,No question document found
893463,No question document found
893464,No question document found
893465,No question document found
893466,No question document found
893467,No question document found
893468,No question document found
893469,No question document found
893470,No question document found
893471,No question document found
893472,No question document found
893473,No question document found
893474,No question document found
893475,No question document found
893476,No question document found
893477,No question document found
893505,No question document found
893506,No question document found
893507,No question document found
893508,No question document found
893509,No question document found
893510,No question document found
893511,No question document found
893512,No question document found
893514,No question document found
893515,No question document found
893520,No question document found
893521,No question document found
893522,No question document found
893523,No question document found
893524,No question document found
894443,No question document found
894455,No question document found
894476,No question document found
895612,No question document found
896068,No question document found
899116,No question document found
900134,No question document found
902212,No question document found
902763,No question document found
902764,No question document found
902767,No question document found
902770,No question document found
902780,No question document found
902784,No question document found
902789,No question document found
902793,No question document found
902796,No question document found
902799,No question document found
902802,No question document found
902805,No question document found
902807,No question document found
902809,No question document found
902813,No question document found
902845,No question document found
902848,No question document found
902851,No question document found
902855,No question document found
902857,No question document found
902860,No question document found
902865,No question document found
902866,No question document found
902869,No question document found
902875,No question document found
902900,No question document found
902907,No question document found
902911,No question document found
902919,No question document found
902922,No question document found
902926,No question document found
902946,No question document found
902957,No question document found
902966,No question document found
902973,No question document found
902979,No question document found
902995,No question document found
903007,No question document found
903012,No question document found
903014,No question document found
903018,No question document found
903021,No question document found
903025,No question document found
903029,No question document found
903035,No question document found
903460,No question document found
903470,No question document found
903491,No question document found
904938,No question document found
904942,No question document found
904947,No question document found
904971,No question document found
904973,No question document found
904979,No question document found
904982,No question document found
904987,No question document found
905009,No question document found
905010,No question document found
905014,No question document found
905015,No question document found
905021,No question document found
905027,No question document found
905029,No question document found
905031,No question document found
905033,No question document found
905036,No question document found
905085,No question document found
905098,No question document found
905325,No question document found
905603,API call failed for some/all languages: [1]
905639,No question document found
908979,No question document found
914769,No question document found
916078,No question document found
916080,No question document found
916081,No question document found
916083,No question document found
916084,No question document found
916085,No question document found
916086,No question document found
917895,No question document found
919777,API call failed for some/all languages: [1, 2, 3]
919780,API call failed for some/all languages: [1, 2]
919879,API call failed for some/all languages: [1]
919938,API call failed for some/all languages: [1, 2, 3]
919955,API call failed for some/all languages: [1, 2]
919974,API call failed for some/all languages: [1, 2]
919977,API call failed for some/all languages: [1, 2]
919990,API call failed for some/all languages: [1, 2]
920015,API call failed for some/all languages: [1, 2]
920033,API call failed for some/all languages: [1, 2]
920052,API call failed for some/all languages: [1, 2]
920069,API call failed for some/all languages: [1]
920074,API call failed for some/all languages: [1, 2, 3]
920087,API call failed for some/all languages: [1, 2]
920116,API call failed for some/all languages: [1, 2]
920129,API call failed for some/all languages: [1]
920143,API call failed for some/all languages: [1, 2]
920146,API call failed for some/all languages: [1, 2]
920163,API call failed for some/all languages: [1, 2]
920183,API call failed for some/all languages: [1, 2]
920203,API call failed for some/all languages: [1, 2]
920205,API call failed for some/all languages: [1, 2]
920224,API call failed for some/all languages: [1, 2]
920241,API call failed for some/all languages: [1, 2]
920247,API call failed for some/all languages: [1, 2]
920263,API call failed for some/all languages: [1]
920321,API call failed for some/all languages: [1]
920352,API call failed for some/all languages: [1]
920383,API call failed for some/all languages: [1, 2]
920406,API call failed for some/all languages: [1, 2]
920429,API call failed for some/all languages: [1]
920547,No question document found
920552,No question document found
920555,No question document found
920558,No question document found
920562,No question document found
920565,No question document found
920573,API call failed for some/all languages: [1, 2]
920768,API call failed for some/all languages: [1]
923093,No question document found
923095,No question document found
923096,No question document found
923098,No question document found
923099,No question document found
923100,No question document found
923104,No question document found
923105,No question document found
923112,No question document found
923113,No question document found
923114,No question document found
923116,No question document found
923117,No question document found
923118,No question document found
923119,No question document found
923120,No question document found
923127,No question document found
923130,No question document found
924017,No question document found
924028,No question document found
924847,No question document found
926875,No question document found
926876,No question document found
926879,No question document found
926880,No question document found
926881,No question document found
926888,No question document found
926891,No question document found
926892,No question document found
926901,No question document found
926916,No question document found
926923,No question document found
926930,No question document found
926935,No question document found
926938,No question document found
926943,No question document found
926947,No question document found
926951,No question document found
926952,No question document found
926954,No question document found
926957,No question document found
926963,No question document found
927085,No question document found
934498,No question document found
937643,No question document found
943951,No question document found
944956,No question document found
945096,API call failed for some/all languages: [1, 2]
945218,API call failed for some/all languages: [1, 2, 3]
945299,API call failed for some/all languages: [1]
945300,API call failed for some/all languages: [1]
945375,API call failed for some/all languages: [1, 2]
945393,API call failed for some/all languages: [1]
945410,API call failed for some/all languages: [1]
945494,API call failed for some/all languages: [1, 2]
945528,API call failed for some/all languages: [1]
945531,API call failed for some/all languages: [1, 2]
945549,API call failed for some/all languages: [1, 2]
945550,API call failed for some/all languages: [1, 2, 3]
945566,API call failed for some/all languages: [1]
945585,API call failed for some/all languages: [1]
945606,API call failed for some/all languages: [1]
945613,API call failed for some/all languages: [1, 2, 3]
945623,API call failed for some/all languages: [1]
945645,API call failed for some/all languages: [1]
945648,API call failed for some/all languages: [1]
945662,API call failed for some/all languages: [1, 2]
945681,No question document found
945682,API call failed for some/all languages: [1, 2]
945684,API call failed for some/all languages: [1, 2]
945694,No question document found
945695,No question document found
945696,No question document found
945697,No question document found
945698,No question document found
945699,No question document found
945700,No question document found
945701,API call failed for some/all languages: [1, 2]
945703,No question document found
945704,No question document found
945705,No question document found
945706,No question document found
945721,API call failed for some/all languages: [1, 2]
945742,API call failed for some/all languages: [1, 2, 3]
945746,No question document found
945771,API call failed for some/all languages: [1]
945819,No question document found
945866,API call failed for some/all languages: [1]
945996,API call failed for some/all languages: [1]
946033,API call failed for some/all languages: [1]
946153,No question document found
946177,No question document found
946359,API call failed for some/all languages: [1, 2, 3]
947782,No question document found
950494,No question document found
950498,No question document found
953787,No question document found
956109,No question document found
957044,No question document found
959286,No question document found
959291,No question document found
959298,No question document found
959303,No question document found
959508,No question document found
959566,No question document found
961549,No question document found
961566,No question document found
961850,No question document found
965033,No question document found
965670,No question document found
965672,No question document found
965677,No question document found
965684,No question document found
965686,No question document found
965695,No question document found
965712,No question document found
965714,No question document found
965719,No question document found
965720,No question document found
968693,No question document found
973767,No question document found
974066,No question document found
976647,No question document found
976795,No question document found
977043,No question document found
977131,No question document found
978055,No question document found
978057,No question document found
978058,No question document found
978059,No question document found
978060,No question document found
978061,No question document found
978062,No question document found
978065,No question document found
978066,No question document found
978067,No question document found
978070,No question document found
978071,No question document found
978074,No question document found
978128,No question document found
978129,No question document found
980190,No question document found
982293,No question document found
982294,No question document found
982295,No question document found
982296,No question document found
982298,No question document found
982306,No question document found
982309,No question document found
982310,No question document found
982312,No question document found
982314,No question document found
982315,No question document found
982316,No question document found
982319,No question document found
982320,No question document found
982322,No question document found
984745,No question document found
985657,No question document found
987322,No question document found
988228,No question document found
988629,No question document found
988739,No question document found
989598,No question document found
989608,No question document found
990826,No question document found
991411,No question document found
991415,No question document found
991418,No question document found
991420,No question document found
991425,No question document found
991430,No question document found
991432,No question document found
991435,No question document found
992782,No question document found
993375,No question document found
993380,No question document found
993391,No question document found
993396,No question document found
993401,No question document found
993402,No question document found
993403,No question document found
993404,No question document found
993405,No question document found
993406,No question document found
993407,No question document found
993408,No question document found
993910,No question document found
994150,No question document found
994164,No question document found
994166,No question document found
994678,API call failed for some/all languages: [1, 2]
994717,API call failed for some/all languages: [1, 2, 3]
994736,API call failed for some/all languages: [1, 2]
994755,API call failed for some/all languages: [1, 2]
994777,API call failed for some/all languages: [1, 2]
994812,API call failed for some/all languages: [1, 2]
994838,API call failed for some/all languages: [1, 2]
994850,API call failed for some/all languages: [1, 2]
994874,API call failed for some/all languages: [1, 2]
994886,API call failed for some/all languages: [1, 2]
994889,API call failed for some/all languages: [1, 2]
994910,API call failed for some/all languages: [1, 2]
994914,API call failed for some/all languages: [1, 2]
994929,API call failed for some/all languages: [1, 2]
994931,API call failed for some/all languages: [1, 2]
994944,API call failed for some/all languages: [1, 2, 3]
994952,API call failed for some/all languages: [1, 2]
994970,API call failed for some/all languages: [1]
994998,API call failed for some/all languages: [1, 2]
995004,API call failed for some/all languages: [1, 2, 3]
995028,API call failed for some/all languages: [1, 2, 3]
995044,API call failed for some/all languages: [1, 3]
995046,API call failed for some/all languages: [1, 2]
995062,API call failed for some/all languages: [1, 2]
995095,API call failed for some/all languages: [1, 2, 3]
995123,API call failed for some/all languages: [1, 2, 3]
995197,API call failed for some/all languages: [1, 2]
995481,API call failed for some/all languages: [1]
995506,API call failed for some/all languages: [1]
996481,No question document found
996494,No question document found
996508,No question document found
996510,No question document found
996527,No question document found
996535,No question document found
996548,No question document found
996560,No question document found
996565,No question document found
996568,No question document found
996583,No question document found
996587,No question document found
996593,No question document found
996595,No question document found
996599,No question document found
